CREDITS,DESCRIPTION,EMBEDCODE,ENTITYID,ENTITYMEDIAID,ENTITYTYPE,HEIGHT,MEDIATYPE,SUBTITLE,TITLE,URL,WIDTH
"","","","203178","259","Facility","0","Image","","","https://ridb.recreation.gov/images/259.jpg","0"
"","","","204117","260","Facility","0","Image","","","https://ridb.recreation.gov/images/260.jpg","0"
"","","","204118","261","Facility","0","Image","","","https://ridb.recreation.gov/images/261.jpg","0"
"","","","203167","264","Facility","0","Image","","","https://ridb.recreation.gov/images/264.jpg","0"
"","","","203170","266","Facility","0","Image","","","https://ridb.recreation.gov/images/266.jpg","0"
"","","","203183","276","Facility","0","Image","","","https://ridb.recreation.gov/images/276.jpg","0"
"","","","200011","279","Facility","0","Image","","NARA's College Park Facility","https://ridb.recreation.gov/images/279.jpg","0"
"","","","200012","280","Facility","0","Image","","Ronald Reagan Presidential Library and Museum","https://ridb.recreation.gov/images/280.jpg","0"
"","","","200013","281","Facility","0","Image","","Truman Presidential Library and Museum","https://ridb.recreation.gov/images/281.jpg","0"
"","","","200002","283","Facility","0","Image","","National Archives Building, Washington, DC","https://ridb.recreation.gov/images/283.jpg","0"
"","","","200009","284","Facility","0","Image","","LBJ Presidential LIbrary and Museum","https://ridb.recreation.gov/images/284.jpg","0"
"","","","203260","293","Facility","0","Image","","","https://ridb.recreation.gov/images/293.jpg","0"
"","","","203262","294","Facility","0","Image","","","https://ridb.recreation.gov/images/294.jpg","0"
"","","","203264","295","Facility","0","Image","","","https://ridb.recreation.gov/images/295.jpg","0"
"","","","200004","296","Facility","0","Image","","Entrance to the Carter Presidential Library","https://ridb.recreation.gov/images/296.jpg","0"
"","","","200006","309","Facility","0","Image","","Gerald Ford Presidential Library","https://ridb.recreation.gov/images/309.jpg","0"
"","","","200007","310","Facility","0","Image","","Gerald R. Ford Presidential Museum","https://ridb.recreation.gov/images/310.jpg","0"
"","","","224333","559","Facility","0","Image","","Tyee Recreation Site","https://ridb.recreation.gov/images/559.JPG","0"
"","Each of the historic 89 guest rooms and suites at The Blennerhassett Hotel combine traditional elegance with modern amenities.","","231792","1605","Facility","0","Image","Guest Room","Luxurious Accommodations","https://ridb.recreation.gov/images/1605.jpg","0"
"","Designed and built by William Chancellor, a prominent Parkersburg businessman, Blennerhassett opened in 1889 and quickly became a grand showplace for what would later be known as the Gaslight Era.","","231792","1606","Facility","0","Image","","A Symbol in Parkersburg","https://ridb.recreation.gov/images/1606.jpg","0"
"","This Historic Hotels of America hotel features meeting spaces for every group: from rooms for small classes of only 10 to the signature Charleston Ballroom & Promenade.","","231792","1607","Facility","0","Image","","Weddings, Meetings, Classes and more","https://ridb.recreation.gov/images/1607.jpg","0"
"","The name of The American Club was carefully selected in the hope that it would instill within its residents a love of their new country when it was first founded as a private residence.","","231771","1608","Facility","0","Image","","An American History","https://ridb.recreation.gov/images/1608.png","0"
"","Ashland Springs boasts 70 tastefully decorated, non-smoking rooms.","","231772","1611","Facility","0","Image","Guest Room","Historic Accommodations","https://ridb.recreation.gov/images/1611.jpg","0"
"","The famous Lithia Springs water was reputed to be the purest and healthiest in America: just one of the attractions for guests to The Ashland Springs Hotel.","","231772","1612","Facility","0","Image","Lobby","A Purifying Stay","https://ridb.recreation.gov/images/1612.jpg","0"
"","Only steps from theater, shopping, and nightlife: while Larks Home Kitchen Cuisine caters to guests daily. The Ashland Springs Hotels is also the closest lodging for the world famous Oregon Shakespeare Festival held annually.","","231772","1613","Facility","0","Image","Exterior at Night","Steps to Local Attractions","https://ridb.recreation.gov/images/1613.jpg","0"
"","Guests of The Ashton enjoy one of 39 spacious guestrooms and suites. 
","","231773","1614","Facility","0","Image","Guest Room","Comfortable Rooms","https://ridb.recreation.gov/images/1614.jpg","0"
"","Historic Hotels of America member The Ashton Hotel was orginially built in 1915 for The Fort Worth Club, a collection of the city’s most prominent citizens.","","231773","1615","Facility","0","Image","Exterior","A Historic Stay","https://ridb.recreation.gov/images/1615.jpg","0"
"","The Ashton offers four distinctive meeting venues for groups as small as 20 and as large as 150.","","231773","1616","Facility","0","Image","Lobby","A Space for Everyone","https://ridb.recreation.gov/images/1616.jpg","0"
"","The Ashton Café is renowned for its elegant service and creative American Bistro cuisine. The warm, intimate setting includes a fireplace, piano and bar.","","231773","1617","Facility","0","Image","Dining","Intimate Dining","https://ridb.recreation.gov/images/1617.jpg","0"
"","The Battle House Renaissance Mobile Hotel & Spa encompasses 238 hotel rooms including 31 suites.","","231791","1618","Facility","0","Image","Guest Suite","Historic Rooms and Suites","https://ridb.recreation.gov/images/1618.jpg","0"
"","In addition to the driving range on property, this Historic Hotels of America member is within convenient driving distance to the Robert Trent Jones Golf Trail - Magnolia Grove, home of the LPGA Mobile Bay Classic Golf Tournament.","","231791","1619","Facility","0","Image","Golf Course","Great for Golf","https://ridb.recreation.gov/images/1619.jpg","0"
"","The Battle House Renaissance Mobile Hotel & Spa has a tennis court, driving range, a 7,000 square foot spa, salon and fitness center, swimming pool, one restaurant and three lounges/bars..

","","231791","1620","Facility","0","Image","Golf Course & Water ","Activities At Hand","https://ridb.recreation.gov/images/1620.jpg","0"
"","The landmark Battle House opened on December 11th 1852 and has been an important part of Mobile history ever since. 

","","231791","1621","Facility","0","Image","Lobby","A Mobile Legend","https://ridb.recreation.gov/images/1621.jpg","0"
"","Guests to the Historic Battle House hotel have included Jefferson Davis,
Admiral Raphael Semmes, and Generals Bragg, Beauregard, and Taylor, and Stephen Douglas.","","231791","1622","Facility","0","Image","Corridor","Living History","https://ridb.recreation.gov/images/1622.jpg","0"
"","The Capital Hotel boasts 94 heritage accommodations including 15 Capital Great Rooms and four luxury suites.","","231796","1623","Facility","0","Image","Capital King Room","Charming Rooms","https://ridb.recreation.gov/images/1623.jpg","0"
"","One of the historic Capital Hotel's most notable features is the prefabricated cast-iron façade that is part of the original construction (though it has been added to since). This architectural detail was built out of state – where is not known for certain – and shipped to Arkansas. The building was designed and constructed to accommodate the façade, which is not only decorative but a vital structural element as well.","","231796","1624","Facility","0","Image","Exterior at Night","A Little Rock Landmark","https://ridb.recreation.gov/images/1624.jpg","0"
"","The landmark hotel in Little Rock hosted many political and historic personages, including President Ulysses S. Grant. In fact, legend says that the Capital's unusually large elevator was built to allow Grant to take his horse to his hotel room.","","231796","1625","Facility","0","Image","Lobby","Where History Stayed","https://ridb.recreation.gov/images/1625.jpg","0"
"","The Chattanooga terminal was saved in 1973 by a group of local citizens and was brought to the public as the hotel it is today.","","231799","1627","Facility","0","Image","","Night Exterior ","https://ridb.recreation.gov/images/1627.jpg","0"
"","The Hotel's location in the heart of Chattanooga means that guests can enjoy local amenities such as golfing while exploring the city.","","231799","1628","Facility","0","Image","","Golf Course ","https://ridb.recreation.gov/images/1628.jpg","0"
"","Formerly a railroad terminal,  now a member of Historic Hotels of America, that Chattanooga Choo Choo welcomes guests to its unique locations such as these formal gardens.","","231799","1629","Facility","0","Image","","Formal Gardens ","https://ridb.recreation.gov/images/1629.jpg","0"
"","The Chattanooga Choo Choo boasts the world’s largest HO gauge model train display, with 120 locomotives,1,000 freight cars, 80 passenger cars,and 3,000 feet of track.","","231799","1630","Facility","0","Image","","Welcome Aboard","https://ridb.recreation.gov/images/1630.jpg","0"
"","The hotel offers 40,000-square-feet of event space including a ballroom, theater, lecture hall, meeting rooms, and boardrooms.","","231799","1631","Facility","0","Image","","Imperial Ballroom","https://ridb.recreation.gov/images/1631.jpg","0"
"","There are nearly 600 rooms in the Fairmont Hotel San Francisco, each offering amenities such as a refreshment center, refridgerators, and plush bathrobes.","","231801","1632","Facility","0","Image","","Lush Accommodations","https://ridb.recreation.gov/images/1632.jpg","0"
"","The 61 suites of this Historic Hotel of America offer incomporable views of both the city skyline and the Bay.","","231801","1633","Facility","0","Image","","Steps to the City","https://ridb.recreation.gov/images/1633.jpg","0"
"","Without even leaving the hotel guests of The Fairmont Hotel San Francisco can access world class shopping and unique on-site amenities.","","231801","1634","Facility","0","Image","","Billiards Table","https://ridb.recreation.gov/images/1634.jpg","0"
"","The Fairmont San Francisco offers two dining options: The Tonga Room & Hurricane Bar and the Laurel Court Restaurant and Bar.","","231801","1635","Facility","0","Image","","Unique Dining","https://ridb.recreation.gov/images/1635.jpg","0"
"","Laurel Court serves as the pulse of the hotel, known for its use of a variety of Northern California cuisines  and daily drink specials.
","","231801","1636","Facility","0","Image","","The Laurel Court ","https://ridb.recreation.gov/images/1636.jpg","0"
"","Each of the 63 guest rooms at the Boone Tavern Hotel feature works of art and furnishings made at Berea College.","","231793","1637","Facility","0","Image","King Room","Heritage Accommodations","https://ridb.recreation.gov/images/1637.jpg","0"
"","Inspired by the wife of the President of the university, the Boone Tavern Hotel is named after the famed Kentucky native Daniel Boone.","","231793","1638","Facility","0","Image","Entrance","A Kentucky Original","https://ridb.recreation.gov/images/1638.jpg","0"
"","In the tradition of Nellie Frost, the University's ""First Lady"" who inspired the hotel, groups as small as 20 and as large as 125 gather and entertain at the Boone Tavern Hotel.","","231793","1639","Facility","0","Image","Main Lobby","Southern Hospitality","https://ridb.recreation.gov/images/1639.jpg","0"
"","The Brown Hotel features 293 guestrooms and suites. Suites include a comfortable conversation area, flat-screen television, dining area, wet bar, and separate full bath.","","231794","1640","Facility","0","Image","Guest Room","Spacious Accommodations","https://ridb.recreation.gov/images/1640.jpg","0"
"","The Brown Hotel has been a Louisville landmark since it opened in 1923. Brought to fruition by James Graham Brown, it was designed by architect Preston J. Bradshaw.","","231794","1641","Facility","0","Image","Grand Lobby","Louisville Legacy","https://ridb.recreation.gov/images/1641.jpg","0"
"","The Brown Hotel offers 17 meeting and banquet rooms that can accommodate 6 to 600 guests.","","231794","1642","Facility","0","Image","Crystal Ballroom","Extensive Meeting Spaces","https://ridb.recreation.gov/images/1642.jpg","0"
"","The 47 guestrooms of the main building boast traditional features such as marble and brass baths-some with whirlpool tubs-and are complemented by modern amenities.","","231807","1647","Facility","0","Image","","Heritage Accommodations","https://ridb.recreation.gov/images/1647.jpg","0"
"","Italian masons were hired to construct the heart of historic Santa Rosa, including the Hotel La Rose in 1907.","","231807","1648","Facility","0","Image","","A Local Treasure ","https://ridb.recreation.gov/images/1648.jpg","0"
"","Hotel La Rose is located at the center of Santa Rosa's Historic Railroad Square district, steps away from cozy cafes, local theaters, spas, trendy boutiques, and antique shops.","","231807","1649","Facility","0","Image","","Steps to History","https://ridb.recreation.gov/images/1649.jpg","0"
"","French continental cuisine and Sonoma County wines are featured at Josef's Restaurant and Bar, a restaurant at Hotel La Rose.","","231807","1650","Facility","0","Image","","The California Experience","https://ridb.recreation.gov/images/1650.jpg","0"
"","There are 157 guestrooms and suites at the Jekyll Island Club Hotel in five distinct historic settings.","","231810","1651","Facility","0","Image","","Guestroom","https://ridb.recreation.gov/images/1651.jpg","0"
"","The Club was founded in 1886 by a set of families that are today household names for their success and wealth, including: Astors, Rockefellers, Goulds and Morgans.","","231810","1652","Facility","0","Image","","Historic Luminaries","https://ridb.recreation.gov/images/1652.jpg","0"
"","Enjoy your time at this Historic Hotel of America by taking in a game of croquet on the lawn or trying your hand at a game of tennis or golf.","","231810","1653","Facility","0","Image","","Activities Abound","https://ridb.recreation.gov/images/1653.jpg","0"
"","Jekyll Island Club Resort is after all on an island so the chances to get out on the water are many. Try charter fishing, Dolphin cruises, kayaking and more.","","231810","1654","Facility","0","Image","","Water and the Resort ","https://ridb.recreation.gov/images/1654.jpg","0"
"","The Grand Dining Room is home to a number of culinary experiences including the legendary Sunday Brunch, Sunday Dinner Dances, and Victorian High Tea.","","231810","1655","Facility","0","Image","","Victorian Dining","https://ridb.recreation.gov/images/1655.jpg","0"
"","Take a stroll through the gardens or participate in one of the many tours that this Historic Hotel of America offers, including Historic District Tours and Jekyll Ghost Tours.","","231810","1656","Facility","0","Image","","Explore the Island","https://ridb.recreation.gov/images/1656.jpg","0"
"","This historic hotel is located just steps away from the beach and the Atlantic Ocean.","","231811","1657","Facility","0","Image","","Beachfront Escape","https://ridb.recreation.gov/images/1657.jpg","0"
"","Explore five different oceanfront pools as a guest of The King and Prince.","","231811","1658","Facility","0","Image","","Oceanfront Pools","https://ridb.recreation.gov/images/1658.jpg","0"
"","Play a game of tennis on one of the two Har-Tru tennis courts, or simply rent a beach chair for the day.","","231811","1659","Facility","0","Image","","Island Activities","https://ridb.recreation.gov/images/1659.jpg","0"
"","Enjoy indoor and outdoor dining at St. Simons Island's only oceanfront restaurant, ECHO.","","231811","1660","Facility","0","Image","","Seaside Dining","https://ridb.recreation.gov/images/1660.jpg","0"
"","The King and Prince Beach and Golf Resort got its start in 1935 as an immensely popular dance club, served as a Navy radar station during World War II, and resumed its role as a resort after the war.","","231811","1661","Facility","0","Image","","Part of History","https://ridb.recreation.gov/images/1661.jpg","0"
"","The Hilton Milwaukee City Center offers 729 historic guestrooms and suites.","","231805","1662","Facility","0","Image","","Accommodations ","https://ridb.recreation.gov/images/1662.jpg","0"
"","Since its opening in 1928 the  Hilton Milwaukee City Center’s distinctive Art Deco architecture has been an important part of the Milwaukee skyline.","","231805","1663","Facility","0","Image","","Milwaukee History","https://ridb.recreation.gov/images/1663.jpg","0"
"","The rich history of this Historic Hotel of America is centered around a city known for its brewing companies: while ironically the hotel hotel opened in 1928 during the height of prohibition and the era of Al Capone's residence in Milwaukee.","","231805","1664","Facility","0","Image","","Part of the City ","https://ridb.recreation.gov/images/1664.jpg","0"
"","The exquisite Crystal Ballroom dates back to World War II and highlights an Art Deco authenticity, including high ceilings and ornate mirrors.","","231805","1665","Facility","0","Image","","Crystal Ballroom","https://ridb.recreation.gov/images/1665.jpg","0"
"","The dining options at the Hilton Milwaukee City Center range from the authentic Milwaukee pub to the award-winning Milwaukee Chophouse.","","231805","1666","Facility","0","Image","","Dining ","https://ridb.recreation.gov/images/1666.jpg","0"
"","OHKEA CASTLE	features 32 guestrooms that combine the luxury of today with the history of the golden age of the 1920's.","","231803","1667","Facility","0","Image","","Luxurious Mansion Life ","https://ridb.recreation.gov/images/1667.jpg","0"
"","This Historic Hotel of America has played host to a myriad of events and guests including weddings, films, advertisements, and television shows.","","231803","1668","Facility","0","Image","","Famous Gardens ","https://ridb.recreation.gov/images/1668.jpg","0"
"","OHEKA CASTLE was first built during the advent of the Gilded Age, in 1919. The castle was, and is the second largest private residence ever built in America, at 109,000 square feet and 127 guestrooms.","","231803","1669","Facility","0","Image","","An American Castle","https://ridb.recreation.gov/images/1669.jpg","0"
"","All guests are welcome to truly explore the splendor of the Castle by taking advantage of one of the guided historic tours offered at this Historic Hotel of America.","","231803","1670","Facility","0","Image","","Historic Experience","https://ridb.recreation.gov/images/1670.jpg","0"
"","There are 200 rooms and suites available at the Omni Mount Washington Resort.","","231816","1677","Facility","0","Image","","Ample Accommodations","https://ridb.recreation.gov/images/1677.jpg","0"
"","Omni Bretton Woods offers over 434 acres of skiing and snowboarding for winter guests to enjoy: day or night. 
","","231816","1678","Facility","0","Image","","Winter Weather ","https://ridb.recreation.gov/images/1678.jpg","0"
"","Golf is only one of the many fair weather activities available at the resort including hiking, fishing, climbing, and horseback riding.","","231816","1679","Facility","0","Image","","Resort Activities ","https://ridb.recreation.gov/images/1679.jpg","0"
"","Truly an institution, the Bretton Woods Hotel has its own Post Office and private telephone system, dating back from its July 28, 1902 opening.","","231816","1680","Facility","0","Image","","Historic Institution","https://ridb.recreation.gov/images/1680.jpg","0"
"","By featuring an event or meeting at the Omni Bretton Woods, you are joining a long list of political, business and artistic gatherings, including the 1944 Bretton Woods International Monetary Conference.","","231816","1681","Facility","0","Image","","Meetings & Common Spaces ","https://ridb.recreation.gov/images/1681.jpg","0"
"","The Omni William Penn offers almost 600 rooms that range in size from 400square feet to 2,500 feet. The 597 guestrooms feature historic elements such as cherry finishes and detailed crown molding.","","231817","1683","Facility","0","Image","","Detailed Historic Guestrooms","https://ridb.recreation.gov/images/1683.jpg","0"
"","This Historic Hotel of America has hosted every seated president since its original opening in 1916 up through President Obama.","","231817","1684","Facility","0","Image","","Historic Guests","https://ridb.recreation.gov/images/1684.jpg","0"
"","There are 38 different Meetings Rooms to choose from: ensuring that hosting an event at this Historic Hotel of America will be customized.","","231817","1685","Facility","0","Image","","Multiple Meeting Spaces","https://ridb.recreation.gov/images/1685.jpg","0"
"","Located just steps from the White House and the National Mall, the Willard InterContinental is the perfect place from which to explore DC.","","231814","1686","Facility","0","Image","","View to History","https://ridb.recreation.gov/images/1686.jpg","0"
"","Major Hollywood productions have been filmed on site, ranging from Minority Report to Hollow Man to Captain America 2.","","231814","1687","Facility","0","Image","","World-Famous","https://ridb.recreation.gov/images/1687.jpg","0"
"","The storied history of the Willard InterContinental has been home to foreign governments and international peace talks such as those held in 1998 by Secretary of State Madeline Albright and Israeli Prime Minister Binyamin Netanyahu.","","231814","1688","Facility","0","Image","","Historic Events ","https://ridb.recreation.gov/images/1688.jpg","0"
"","Dining at the Willard is a true D.C. experience. Choose from Peacock Alley Tea to fine French dining at Café du Parc.","","231814","1689","Facility","0","Image","","Dining in the District ","https://ridb.recreation.gov/images/1689.jpg","0"
"","Mohonk Mountain House offers 267 guestrooms, tower rooms, and suites.","","231812","1690","Facility","0","Image","","Guest Room","https://ridb.recreation.gov/images/1690.jpg","0"
"","Mohonk Mountain House and the Smiley family owners, received exceptional recognition on December 9, 1986, when Mohonk was officially named a National Historic Landmark. This distinction encompassed not only the Mountain House, but also 83 other Mohonk buildings of historic significance and the 7,800 acres of land.","","231812","1691","Facility","0","Image","","Historic Landmark","https://ridb.recreation.gov/images/1691.jpg","0"
"","A trip to the Mohonk stables is just one option available to the guests of Mohonk Mountain House. Guests may also enjoy one of many activities on the lake, a stroll through Victorian gardens, or treatments at the Mohonk spa.","","231812","1692","Facility","0","Image","","Activities Available ","https://ridb.recreation.gov/images/1692.jpg","0"
"","At Mohonk Mountain House, the outdoors only get more fun when the snow starts to fall. Skiing, snowshoeing, tubing and ice skating are only a few of the winter time activities that guests can enjoy.","","231812","1693","Facility","0","Image","","Catskills in Winter ","https://ridb.recreation.gov/images/1693.jpg","0"
"","Take a turn about the  gardens and Victorian maze, reflecting French, Italian, and mid-19th-century English landscaping.  
","","231812","1694","Facility","0","Image","","Award Winning Gardens","https://ridb.recreation.gov/images/1694.jpg","0"
"","A reservation at Mohonk is not merely a place to lay your head, as many activities and meals are part of the package.","","231812","1695","Facility","0","Image","","An All-Inclusive Experience","https://ridb.recreation.gov/images/1695.jpg","0"
"","Accomodations at the Nottoway Plantation include the 8 rooms that use to house the Randolph children, cottages, Caririage House rooms and a honeymoon suite.","","231813","1696","Facility","0","Image","","King Room","https://ridb.recreation.gov/images/1696.jpg","0"
"","The construction of this Historic Hotel of America was completed in 1859 the same year that the Randolphs moved into the grand mansion.","","231813","1697","Facility","0","Image","","Rotunda at Night ","https://ridb.recreation.gov/images/1697.jpg","0"
"","Take a walk through the property and you will see the lovely natural features: from the crepe myrtles to the Mighty Mississippi.","","231813","1698","Facility","0","Image","","Natural Beauty","https://ridb.recreation.gov/images/1698.jpg","0"
"","Nottoway Plantation Resort’s newly-expanded conference facilities now include 11,000 sq ft feet of beautifully appointed meeting and banquet space. Events run from small conferences to ornate weddings and everything in between.","","231813","1699","Facility","0","Image","","The White Ballroom","https://ridb.recreation.gov/images/1699.jpg","0"
"","Pinehurst Resort offers 428 guestrooms that feature categories such as villas, condominiums, inns and a full lodge, with individual amenities available in each type.","","231818","1700","Facility","0","Image","","Guestrooms ","https://ridb.recreation.gov/images/1700.jpg","0"
"","This Historic Hotels of America is situated with a National Historic Landmark District in North Carolina. The resort encompasses over 2,000 acres on which are housed three historic lodgings and a variety of activities and amenities.","","231818","1701","Facility","0","Image","","Considerable Activities on 2,000 Acres","https://ridb.recreation.gov/images/1701.jpg","0"
