ADDRESSCOUNTRYCODE,ADDRESSSTATECODE,CITY,LASTUPDATEDDATE,POSTALCODE,RECAREAADDRESSID,RECAREAADDRESSTYPE,RECAREAID,RECAREASTREETADDRESS1,RECAREASTREETADDRESS2,RECAREASTREETADDRESS3
"USA","OK","Indiahoma","2007-03-21","73552","809","","1672","32 Refuge Headquarters","",""
"USA","CO","Kremmling","2017-10-13","80459","817","","1693","Kremmling Field Office","2103 E. Park Avenue",""
"USA","CO","Montrose","2017-06-22","81401","818","","1694","Gunnison Gorge NCA","2465 South Townsend Avenue",""
"USA","CO","Monte Vista","2017-10-16","81144","819","","1697","San Luis Valley Field Office","1313 E. Hwy 160"," "
"USA","WI","Milwaukee","2011-07-27","53202","821","","1701","Northeastern States Field Office ","626 E. Wisconsin Ave., Suite 200",""
"USA","CO","Kremmling","2017-10-20","80459","824","","1708","","Kremmling Field Office","2103 E. Park Avenue"
"USA","CO","Pleasant View","2017-06-13","81331","826","","1710","Canyons of the Ancients National Monument/ Anasazi Heritage Center "," County Road 7.25"," "
"USA","NV","Carson City","2017-06-22","89701","827","","1712","Carson City District Office","5665 Morgan Mill Road",""
"USA","OR","North Bend","2011-08-01","97459","829","","1717","Coos Bay District","1300 Airport Lane",""
"USA","AZ","","2017-06-13","","830","","1720","","",""
"USA","WY","Lander","2011-07-28","82520","832","","1725","Lander Field Office ","1335 Main Street",""
"USA","OR","North Bend","2011-08-01","97459","834","","1728","Coos Bay District","1300 Airport Lane ",""
"USA","UT","Kanab","2011-08-04","84741","836","","1732","Kanab Field Office","318 North 100 East",""
"USA","NM","Peñasco","2018-04-19","87553","837","","1736","Río Grande Gorge Visitor Center ","NM-68",""
"USA","CA","Bakersfield","2011-08-08","93308","839","","1740","Bakersfield Field Office","3801 Pegasus Drive",""
"USA","OR","North Bend","2017-06-22","97459","840","","1742","Coos Bay District ","1300 Airport Lane",""
"USA","CO","Grand Junction","2011-07-27","81506","841","","1747","McInnis Canyons National Conservation Area","2815 H Road",""
"USA","OR","Medford","2011-08-02","97504","843","","1751","Medford District Office","3040 Biddle Road",""
"USA","CA","Ridgecrest","2017-06-21","93555","849","","1762","Bureau of Land Management","Ridgecrest Field Office","300 South Richmond Rd."
"USA","OR","North Bend","2017-06-20","97459","853","","1773","Coos Bay District "," 1300 Airport Lane"," "
"USA","OR","Springfield","2018-02-02","97477","856","","1779","Springfield Interagency Office","3106 Pierce Parkway, Suite E",""
"USA","WA","Spokane","2011-07-27","99212","861","","1789","Spokane District Office "," 1103 N Fancher Road "," "
"USA","NV","Spring Creek","2017-06-22","89815","867","","1810","","",""
"USA","AZ","","2017-06-12","84790","868","","1811","Arizona Strip Field Office","",""
"USA","NV","Elko","2017-06-22","89801","869","","1814","Elko District Office","3900 E. Idaho Street",""
"USA","MT","Ennis","2004-07-09","59729","871","","1819","180 Fish Hatchery Road","",""
"USA","NV","Carson City","2017-06-22","89701","872","","1824","Carson City District Office","5665 Morgan Mill Rd",""
"USA","OR","Lakeview","2011-08-01","97630","874","","1827","Lakeview District Office","1301 South G Street",""
"USA","OR","Lakeview","2017-06-21","97630","875","","1828","Lakeview District Office","1301 South G Street",""
"USA","NM","Socorro","2011-07-28","87801","882","","1839","Socorro Field Office","901 S. Highway 85",""
"USA","NM","Taos","2004-07-08","87571","889","","1848","Taos Field Office","226 Cruz Alta Rd.",""
"USA","OR","North Bend","2017-06-07","97459","897","","1861","Coos Bay District","1300 Airport Lane",""
"USA","WY","Lander","2011-08-15","82520","900","","1871","Lander Field Office ","1335 Main Street",""
"USA","WY","Casper","2017-12-08","82604","901","","1874","Casper Field Office","2987 Prospector Drive",""
"USA","TN","Gray","2005-03-09","37615","904","","1890","Holston-Cherokee-Douglas Watershed Team","106 Tri-Cities Business Park Drive ","(WTR 1A-GRT)"
"USA","TN","Gray","2008-03-03","37615","905","","1895","Tennessee Valley Authority","Holston-Cherokee-Douglas Watershed Team","106 Tri-Cities Business Park Drive "
"USA","TN","Morristown","2008-02-26","37813-1270","906","","1897","Tennessee Valley Authority","Holston-Cherokee-Douglas Watershed Team","3726 E. Morris Boulevard"
"USA","TN","Lenoir City","2008-02-26","37772-5664","907","","1899","Tennessee Valley Authority","Watts Bar-Clinch Watershed Team","260 Interchange Park Drive, LCB 1A-LCT"
"USA","TN","Lenoir City","2008-02-26","37772-5664","908","","1901","Tennessee Valley Authority","Watts Bar-Clinch Watershed Team","260 Interchange Park Drive, LCB 1A-LCT"
"USA","TN","Lenoir City","2008-02-26","37772-5664","909","","1906","Tennessee Valley Authority","Little Tennessee Watershed Team","260 Interchange Park Drive, LCB 1A-LCT"
"USA","NC","Murphy","2005-04-14","28906","910","","1910","Tennessee Valley Authority","Chickamauga-Hiwassee Watershed Team","221 Old Ranger Road"
"USA","NC","Murphy","2005-04-14","28906","911","","1911","Tennessee Valley Authority","Chickamauga-Hiwassee Watershed Team","221 Old Ranger Road"
"USA","NC","Murphy","2008-02-26","28906","912","","1913","Tennessee Valley Authority","Chickamauga-Hiwassee Watershed Team","221 Old Ranger Road"
"USA","TN","Chattanooga","2004-07-08","37402-2801","913","","1916","Chickamauga/Nickajack","Watershed Team","1101 Market Street (PSC 1E-C)"
"USA","AL","Muscle Shoals","2008-02-26","35662-1010","958","","1975","Tennessee Valley Authority","Pickwick-Wheeler Watershed Team","P.O. Box 1010, SB 1H-M"
"USA","AL","Muscle Shoals","2005-04-14","35662-1010","959","","1977","Tennessee Valley Authority","Pickwick-Wheeler Watershed Team","Reservation Road, P.O. Box 1010"
"USA","AL","Muscle Shoals","2008-02-26","35662-1010","960","","1979","Tennessee Valley Authority","Pickwick-Wheeler Watershed Team","P.O. Box 1010, SB 1H-M"
"USA","TN","Lenoir City","2008-02-26","37772-5664","961","","1981","Tennessee Valley Authority","Little Tennessee Watershed Team","260 Interchange Park Drive, LCB 1A-LCT"
"USA","NV","Battle Mountain","2017-06-22","89820","970","","2027","Battle Mountain District ","50 Bastian Road"," "
"USA","AZ","Safford","2018-02-13","85546-3321","971","","2034","BLM Safford Field Office","711 14th Avenue",""
"USA","AZ","Lake Havasu City","2017-06-20","86403","972","","2038","Lake Havasu Field Office","1785 Kiowa Ave",""
"USA","AZ","Safford","2010-09-22","85546","974","","2041","Safford Field Office","711 14th Ave.",""
"USA","AZ","Kingman ","2012-09-11","86406","976","","2046","Kingman Field Office","2755 Mission Boulevard",""
"USA","AZ","Lake Havasu City","2017-06-21","86403","977","","2048","Lake Havasu Field Office","1785 Kiowa Avenue",""
"USA","AZ","Lake Havasu City","2017-06-21","86403","978","","2049","Lake Havasu Field Office","1785 Kiowa Avenue",""
"USA","AZ","Lake Havasu City","2017-06-21","86403","979","","2051","Lake Havasu Field Office","1785 Kiowa Avenue",""
"USA","NV","Ely","2011-08-01","89301","987","","2103","Ely Field Office","702 North Industrial Way, HC 33 Box 33500",""
"USA","NV","Ely","2017-06-22","89301","988","","2105","Ely Field Office","US Highway 50",""
"USA","NV","Fallon","2017-06-21","89406","989","","2106","Sand Mountain Recreation Area","US Hwy 50",""
"USA","NV","Carson City","2011-08-01","89701","990","","2108","Carson City District Office","5665 Morgan Mill Road",""
"USA","NV","Ely","2011-08-01","89301","992","","2112","Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","NV","Ely","2011-08-01","89301","993","","2113","Ely District Office","702 North Industrial Way, HC33 Box 33500",""
"USA","NV","Winnemucca","2017-06-21","89445","994","","2114","Water Canyon Recreation Area","Water Canyon Road",""
"USA","NV","Las Vegas","2011-08-01","89130","995","","2115","Las Vegas Field Office","4701 North Torrey Pines Drive",""
"USA","NV","Ash Springs","2017-07-07","","996","","2117","","",""
"USA","NV","Tonopah ","2017-06-21","89049","997","","2119","Tonopah Field Office ","PO Box 911","1553 South Main Street "
"USA","UT","Monticello","2011-08-03","84535","1002","","2139","Monticello Field Office","365 North Main",""
"USA","WA","San Juan County","2007-03-06","","1009","","2168","Northern Puget Sound","",""
"USA","OR","Oceanside","2007-03-06","","1011","","2176","1 mile off shore from ","",""
"USA","UT","Vernal","2004-07-08","84078","1016","","2191","Vernal Field Office","170 South 500 East",""
"USA","UT","Richfield","2004-07-08","84701","1017","","2195","Richfield Field Office","150 East 900 North",""
"USA","UT","Richfield","2017-06-22","84701","1018","","2196","Richfield Field Office","150 East 900 North",""
"USA","UT","Escalante","2011-08-03","84726","1019","","2198","Escalante Field Station","PO Box 225","(755 West Main Street)"
"USA","UT","St. George","2011-08-03","84790","1020","","2199","St. George Field Office","345 East Riverside Drive",""
"USA","UT","Vernal","2004-07-08","84078","1024","","2212","Vernal Field Office","170 South 500 East",""
"USA","UT","Fillmore","2011-08-04","84631","1025","","2214","Fillmore Field Office","95 East 500 North",""
"USA","WY","Buffalo","2011-08-15","82834","1028","","2220","Buffalo Field Office","1425 Fort Street",""
"USA","WY","Rawlins","2004-07-08","82301","1030","","2229","Rawlins Field Office","1300 North Third Street",""
"USA","WY","Pinedale","2017-06-05","82941","1031","","2238","Pinedale Field Office","1625 West Pine Street","PO Box 768"
"USA","WY","Rock Springs","2004-07-08","82901","1035","","2252","Rock Springs Field Office","280 Highway 191 North",""
"USA","AZ","Safford","2004-07-08","85546-3321","1041","","2290","Bureau of Land Management","Safford Field Office","711 14th Avenue"
"USA","AZ","Phoenix","2012-09-18","85027","1249","","3110","Lower Sonoran Field Office","Sonoran Desert National Monument","21605 N. 7th Ave"
"USA","OR","Medford","2011-08-01","97504","1253","","3119","Medford District Office","3040 Biddle Road",""
"USA","AK","Fairbanks","2018-04-10","99709","1256","","3125","Bureau of Land Management","Fairbanks District Office","222 University Avenue"
"USA","NV","Denio","2007-03-06","","1263","","3922","Hwy 40, 14 miles west of","",""
"USA","CA","Tulare County","2007-03-06","","1264","","3933","35 miles south of Tulare in","",""
"USA","FL","Crystal River","2007-03-06","34429","1269","","3948","1502 S.E. Kings Bay Drive","",""
"USA","OK","Vian","2007-03-06","74962","1271","","3958","Rt. 1 Box 18 A","",""
"USA","NM","Socorro","2007-03-06","87801","1272","","3962","P.O.Box 1248","",""
"USA","NM","Las Cruces","2011-05-02","88012","1273","","3963","5686 Santa Gertrudis Dr.","",""
"USA","OH","Lake Erie","2007-03-06","","1274","","4000","","",""
"USA","PR","Vieques","2007-03-06","00765","1275","","4002","P.O. Box 1527","",""
"USA","LA","Farmerville","2007-03-06","71241","1278","","4014","11372 Hwy 143","",""
"USA","MO","Iron County","2007-03-06","","1281","","4020","","",""
"USA","ME","Rockport","2007-03-06","04856","1291","","4064","PO Box 495","",""
"USA","MO","Springfield","2004-07-09","65807","1293","","4074","500 West Sunshine","",""
"USA","ND","Cayuga","2007-02-20","58013","1297","","4098","9754 143 1/2 Avenue SE","",""
"USA","ND","Devils Lake","2007-02-20","58301 ","1299","","4100","c/o Devils Lake Wetland Management District ","221 2nd Street West","P.O. Box 908"
"USA","VA","Lorton","2004-07-08","22079","1301","","4110","10705 Belmont Blvd","",""
"USA","AK","Anchorage","2017-06-23","99507","1357","","583","Anchorage Field Office","4700 BLM Road"," "
"USA","AK","Anchorage","2011-07-19","99507","1358","","584","4700 BLM Road "," "," "
"USA","WY","Alcova","2007-03-06","","1415","","1558","","",""
"USA","NC","Rodanthe","2007-03-06","27968","1416","","1561","NC 12 south","for shipping:  708 N Hwy 64, Manteo, NC 27954;",""
"USA","WA","Wenatchee","2017-07-14","98801","1417","","1794","Wenatchee Field Office","915 N. Walla Walla Ave"," "
"USA","MA","Sunderland","2007-03-21","01375","1604","","114","103 East Plumtree Road","",""
"USA","AZ","Kingman","2011-03-10","86401","1787","","591","Kingman Field Office","2755 Mission Boulevard",""
"USA","AZ","Sierra Vista","2018-06-14","85615","1789","","595","4070 South Avenida Saracino","",""
"USA","AK","Glennallen","2011-07-19","99588","1790","","599","BLM Glennallen Field Office","Mile 186.5 Glenn Highway"," P.O. Box 147"
"USA","AZ","Yuma","2011-07-19","85365","1792","","602","Bureau of Land Management","Yuma Field Office","2555 East Gila Ridge Road"
"USA","HI","Honolulu","2004-07-08","96815","1793","","604","Battery Randolph, Bldg 32, Kalia Rd","Fort DeRussy, Waikiki Beach",""
"USA","CA","El Dorado Hills","2017-06-12","95762","1797","","612","Bureau of Land Management","Mother Lode Field Office","5152 Hillsdale Circle"
"USA","CA","Ridgecrest","2017-06-21","93555","1800","","618","Bureau of Land Management","Ridgecrest Field Office","300 S. Richmond Rd."
"USA","AZ","Safford","2004-07-09","85546","1801","","620","711 14th Avenue","",""
"USA","CA","Redding","2017-06-21","96002","1808","","979","Bureau of Land Management","Redding Field Office","6640 Lockheed Drive"
"USA","SD","Belle Fourche","2017-09-13","57717","1883","","1150","South Dakota Field Office ","309 Bonanza Street",""
"USA","CO","Cañon City","2017-10-03","81212","1891","","1163","Royal Gorge Field Office","3028 E. Main Street",""
"USA","CA","Barstow","2017-06-20","92311","1901","","1181","Bureau of Land Management","Barstow Field Office","2601 Barstow Rd. "
"USA","CA","Barstow","2017-06-20","92311","1911","","1197","Bureau of Land Management","Barstow Field Office","2601 Barstow Rd. "
"USA","UT","Vernal","2011-08-03","84078","1919","","1220"," Vernal Field Office","170 South 500 East"," "
"USA","LA","Farmerville","2007-03-06","71241","2015","","1369","11372 Hwy 143  ","",""
"USA","LA","Farmerville ","2007-03-06","71241","2094","","1491","11372 Hwy 143","",""
"USA","VA","Lorton","2007-03-21","22079","2101","","1501","7603 High Point Rd","",""
"USA","MT","Moiese","2004-07-08","59824","2122","","1531","132 Bison Range Rd."," "," "
"USA","FL","Big Pine Key","2007-03-06","33043","2123","","1533","179 key Deer Blvd.","Big Pine Key Plaza",""
"USA","IA","Prairie City","2007-03-06","50228","2124","","1534","9981 Pacific Street","",""
"USA","WI","Necedah","2007-03-06","54646","2125","","1535","W7996 20th St. W","",""
"USA","RI","Charlestown","2007-03-06","02813","2127","","1537","50 Bend Road","",""
"USA","NE","Scottsbluff","2007-03-06","69631","2128","","1539","115 Railway Street","",""
"USA","MT","Moiese","2007-03-06","59824","2129","","1540","132 Bison Range Road","",""
"USA","AK","Galena","2007-03-06","99741","2130","","1541","101 Front St.","P.O. Box 287",""
"USA","OR","Bandon","2007-03-06","","2133","","1546","11th St, off U.S. Highway 101","",""
"USA","OH","Oak Harbor","2007-03-06","43449","2134","","1547","14000 West State Route 2","",""
"USA","UT","Randlett","2007-03-06","84063","2135","","1548","HC 69 Box 232","",""
"USA","MA","Harvard","2007-03-06","01451","2136","","1550","Still River Depot Road","",""
"USA","ID","Oxford","2007-03-06","","2137","","1551","Just east of the village of","",""
"USA","NY","Oyster Bay","2007-03-06","11771","2138","","1552","N/A","",""
"USA","NV","Alamo","2007-03-06","89001","2139","","1555","Milepost 32, Hwy 93","",""
"USA","NC","Wadesboro","2007-03-06","28170","2140","","1562","Rt. 1, Box 92 - Hwy. 52 N","",""
"USA","GA","Round Oak","2004-07-08","31038-2821","2142","","1565","718 Juliette Rd.","",""
"USA","GA","Savannah","2007-03-06","31405","2143","","1566","Administrative Office - 1000 Business Center Drive","Suite 10",""
"USA","NC","Columbia","2007-03-06","27925","2145","","1569","205 South Ludington Drive","",""
"USA","AR","Lockesburg","2007-03-06","71846","2146","","1570","1958 Central Road","",""
"USA","VA","Hopewell, Chesterfield Co.","2007-03-06","","2147","","1572","","",""
"USA","DE","Milton","2007-03-06","19968","2148","","1573","11978 Turkle Pond Road","",""
"USA","KS","Stafford","2007-03-06","67578","2149","","1574","RR 3, Box 48A","",""
"USA","ME","Wells","2007-03-06","04090","2150","","1575","321 Port Road","",""
"USA","VA","Warsaw","2007-03-06","22572","2151","","1577","336 Wilna Road","",""
"USA","MT","Lima","2007-03-06","59739","2152","","1578","27820 Southside Centennial Rd.","",""
"USA","TN","Union City","2007-03-06","38261","2153","","1579","4343 Highway 157","",""
"USA","MN","McGregor","2007-03-06","55760","2154","","1580","36289 State Highway 65","",""
"USA","NC","Windsor","2007-03-06","27983","2155","","1582","114 W. Water Street","",""
"USA","CO","Commerce City","2007-03-06","80022","2156","","1583","7200 Quebec Street Bldg 121","",""
"USA","MN","Winona","2007-03-06","55987","2157","","1585","51 East 4th Street","",""
"USA","LA","Hackberry ","2007-03-06","70645","2158","","1586","3000 Holly Beach Highway","",""
"USA","RI","Middletown","2007-03-06","02842","2159","","1587","769 Sachuest Point Road","",""
"USA","CA","Butte County","2007-03-06","","2160","","1589","Near Dayton in ","",""
"USA","CA","Castroville","2007-03-06","","2161","","1590","Off U.S. Hwy 1, about 3 miles south of","",""
"USA","CA","Calipatria","2007-03-06","92233","2162","","1592","906 W Sinclair Rd","",""
"USA","AZ","Douglas","2007-03-06","85608","2163","","1594","P.O. Box 3509","",""
"USA","CA","Los Banos","2007-03-06","93635","2165","","1596","947-C West Pacheco Blvd","",""
"USA","SD","Columbia","2007-03-06","57433","2166","","1598","39650 Sand Lake Drive","",""
"USA","SD","Columbia","2004-07-08","57433","2167","","1599","Rural Rt. 1, Box 25","",""
"USA","TX","Alamo","2007-03-06","78516","2168","","1601","Rt. 2 Box 202A","",""
"USA","SC","Summerton","2007-03-06","29148","2169","","1602","2125 Fort Watson Road","",""
"USA","SC","Hardeeville","2007-03-06","","2170","","1603","Administrative Office - 1000 Business Center Drive","Suite 10 - Savannah, GA   31405 ",""
"USA","WY","Green River","2007-03-06","82935","2171","","1606","37 Miles North on Highway 372","",""
"USA","AK","Kotzebue","2007-03-06","99752","2172","","1607","160 2nd Ave","P.O. Box 270",""
"USA","LA","Lacombe","2007-03-06","70445","2174","","1611","(mailing address)","61389 Hwy. 434",""
"USA","MN","Zimmerman","2007-03-06","55398","2175","","1612","17076 293rd Ave. ","",""
"USA","ND","Moffit","2007-03-06","58560","2176","","1615","12000 353 St. SE","",""
"USA","MO","Mound City","2007-03-06","64470","2177","","1616","Highway 159 South","",""
"USA","WI","New Richmond","2007-03-06","54017","2178","","1618","1764 95th Street","",""
"USA","FL","St. Marks","2007-03-06","32355","2179","","1619","1200 Lighthouse Road","",""
"USA","FL","Apalachicola","2007-03-06","32320","2180","","1620","479 Market Street ","",""
"USA","CT","Westbrook","2007-03-06","06498","2181","","1621","733 Old Clinton Road","",""
"USA","ME","Old Town","2007-03-06","04468","2183","","1626","1168 Main Street","",""
"USA","NJ","Pennsville","2007-03-06","08070","2184","","1627","197 Lighthouse Road","",""
"USA","MO","Sumner","2007-03-06","64681","2185","","1629","Rte #1 Box 29A (Swan Lake Drive)","",""
"USA","MS","Grenada","2007-03-06","38902","2186","","1633","P.O. Box 1070","2776 Sunset Drive",""
"USA","MN","Rochert","2007-03-06","56578","2187","","1634","35704 County Highway 26","",""
"USA","NY","Huntington","2007-03-06","11743","2188","","1636","12 Target Rock Rd.","",""
"USA","TN","Paris","2007-03-06","38242","2189","","1637","3006 Dinkins Lane","",""
"USA","AK","Tok","2007-03-06","99780","2190","","1639","1.3 mile Borealis Avenue","PO Box 779",""
"USA","TX","Sabine Pass","2007-03-06","77655","2191","","1642","P.O. Box 609","",""
"USA","AK","Dillingham","2007-03-06","99576","2193","","1645","6 Main Street","PO Box 270",""
"USA","WI","Trempealeau","2007-03-06","54661","2194","","1647","W28488 Refuge Rd.","",""
"USA","RI","South Kingstown","2007-03-06","02879","2195","","1648","1040 Matunuck Schoolhouse Road","",""
"USA","CA","Tulelake","2007-03-06","96134","2196","","1649","4009 Hill Rd","",""
"USA","OR","Irving","2007-03-06","97844","2198","","1653","72650 Riverview Lane","",""
"USA","IA","Titonka","2007-03-06","50480","2199","","1654","1710 360th St.","",""
"USA","LA","Farmerville","2007-03-06","71363","2201","","1657","11372 Highway 143","",""
"USA","ND","Berthold","2007-03-06","58718","2202","","1658","17701 212th Ave NW","",""
"USA","ND","Valley City","2007-03-06","58072","2203","","1660","11515 River Road","",""
"USA","NJ","Sussex","2007-03-06","07461","2204","","1661","1547 County Route 565","",""
"USA","AR","Augusta","2007-03-06","72006","2205","","1663","26320 Highway 33 South","",""
"USA","MT","Lewistown","2007-03-06","59457","2206","","1664","Airport Road","",""
"USA","GA","Savannah","2007-03-06","31405","2207","","1666","1000 Business Center Drive, ","Suite 10",""
"USA","SD","Waubay","2007-03-06","57273","2208","","1667","44401 134A St.","",""
"USA","SD","Waubay","2007-03-06","57273","2209","","1668","44401 134A St.","",""
"USA","AL","Decatur","2007-03-06","35603","2210","","1670","2700 Refuge Headquarters Road","",""
"USA","AR","St. Charles","2007-03-06","72140","2211","","1671","57 South CC Camp Road","",""
"USA","OR","Corvallis","2007-03-06","97333","2213","","1674","26208 Finley Refuge Rd","",""
"USA","MN","Windom","2007-03-06","56101","2214","","1675","49663 County Road 17","",""
"USA","MS","Hollandale","2007-03-06","38748","2215","","1677","728 Yazoo Refuge Road","",""
"USA","AK","Bethel","2007-03-06","99559","2216","","1678","State Highway","Box 346",""
"USA","AK","Fairbanks","2007-03-06","99701","2217","","1679","101 12th Ave","Box 264",""
"USA","CO","Cañon City","2017-10-13","81212","2226","","1700","Royal Gorge Field Office","3028 E. Main Street"," "
"USA","UT","St. George","2017-06-12","84790","2229","","1705","St. George Field Office","",""
"USA","OR","North Bend","2017-06-20","97459","2238","","1730","Coos Bay District Office","1300 Airport Lane",""
"USA","NV","Elko","2017-06-21","89801","2239","","1734","BLM North Wildhorse Recreation Area","State Highway 225",""
"USA","CA","Ridgecrest","2011-08-08","93555","2241","","1737","Ridgecrest Field Office","300 South Richmond Road",""
"USA","OR","North Bend","2018-04-23","97459","2243","","1741","Coos Bay District","1300 Airport Lane ",""
"USA","CA","Ukiah","2017-06-21","95482","2245","","1748","Bureau of Land Management","Ukiah Field Office","2550 North State Street"
"USA","AZ","Safford","2010-09-22","85546","2248","","1754","Safford Field Office","711 14th Avenue",""
"USA","ID","Boise","2011-07-29","83705","2249","","1757","Bruneau Field Office ","3948 Development Avenue",""
"USA","CA","Alturas","2017-06-22","96101","2251","","1761","Bureau of Land Management","Applegate Field Office","708 W. 12th St."
"USA","ID","Coeur d'Alene","2011-07-29","83815","2255","","1768","Coeur d'Alene Field Office ","3815 Schreiber Way",""
"USA","UT","Cedar City","2011-08-04","84720","2256","","1770","Cedar City Field Office","176 East D.L. Sargent Drive",""
"USA","WA","Spokane","2017-06-21","99212","2257","","1771","Spokane District Office ","1103 N Fancher Road",""
"USA","ID","Cottonwood","2018-03-06","83522","2258","","1776","Cottonwood Field Office","2 Butte Drive",""
"USA","OR","Roseburg","2017-06-22","97470","2261","","1782","Roseburg District Office","777 N.W. Garden Valley Boulevard",""
"USA","CA","Barstow","2017-06-20","92311","2262","","1785","Bureau of Land Management","Barstow Field Office","2601 Barstow Rd. "
"USA","WA","Wenatchee","2017-07-14","98801","2265","","1793","Wenatchee Field Office","915 Walla Walla Avenue"," "
"USA","NV","","2018-01-24","","2268","","1809","Elko District Office","",""
"USA","NV","Elko","2017-06-22","89801","2270","","1815","Elko District Office","3900 E. Idaho Street",""
"USA","NV","Winnemucca","2017-06-22","89445","2271","","1817","Black Rock Field Office","5100 East Winnemucca Blvd.",""
"USA","NV","Las Vegas","2017-06-22","89161","2274","","1826","Red Rock/Sloan Canyon Field Office","1000 Scenic Loop Drive",""
"USA","OR","Vale","2011-08-02","97918","2276","","1834","Vale District Office ","100 Oregon Street"," "
"USA","NM","Socorro","2011-07-28","87801","2277","","1840","Socorro Field Office","901 S. Highway 85",""
"USA","OR","Medford","2011-08-02","97504","2282","","1858","Medford District Office","3040 Biddle Rd",""
"USA","UT","Vernal","2011-08-03","84078","2285","","1870","Vernal Field Office"," 170 South 500 East"," "
"USA","WY","Casper","2018-05-18","83604","2286","","1872","Casper Field Office","","2987 Prospector Dr."
"USA","TN","Gray","2008-02-26","37615","2289","","1891","Tennessee Valley Authority","Holston-Cherokee-Douglas Watershed Team","106 Tri-Cities Business Park Drive"
"USA","TN","Gray","2008-02-26","37615","2290","","1892","Tennessee Valley Authority","Holston-Cherokee-Douglas Watershed Team","106 Tri-Cities Business Park Drive"
"USA","TN","Gray","2008-02-26","37615","2291","","1896","Tennessee Valley Authority","Holston Watershed Team","106 Tri-Cities Business Park Drive"
